tx_type,response_time_us,retry_count
Payment,65,0
NewOrder,82,0
NewOrder,83,0
NewOrder,82,0
Payment,64,0
NewOrder,86,0
Payment,81,0
Payment,75,0
NewOrder,84,0
NewOrder,82,0
Payment,1398,0
NewOrder,103,0
NewOrder,87,0
Payment,68,0
Payment,67,0
NewOrder,87,0
NewOrder,86,0
NewOrder,85,0
NewOrder,86,0
NewOrder,86,0
Payment,67,0
NewOrder,144,0
Payment,79,0
NewOrder,260,0
Payment,87,0
Payment,83,0
Payment,78,0
NewOrder,111,0
NewOrder,104,0
NewOrder,94,0
Payment,82,0
Payment,82,0
NewOrder,86,0
Payment,64,0
Payment,75,0
NewOrder,84,0
Payment,64,0
NewOrder,108,0
Payment,68,0
Payment,66,0
Payment,69,0
Payment,79,0
NewOrder,137,0
Payment,76,0
Payment,70,0
Payment,315,0
NewOrder,88,0
NewOrder,86,0
